,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000095344.2,56324.991717218094,6.59225078262692,0.13617509860159,48.4101047131531,0.0,0.0
ENSMUSG00000043964.14,15228.294048252099,5.105362315481309,0.16420725756037102,31.0909663271388,3.1905893171680185e-212,2.628088420551299e-208
ENSMUSG00000074219.3,6497.095683004871,4.963855384248861,0.16361676047373497,30.338306233888,3.5840383010236588e-202,1.968114899035459e-198
ENSMUSG00000081128.1,10962.5121377906,4.26007755342197,0.14979287760511403,28.439787134956102,6.518128995907047e-178,2.684491426964319e-174
ENSMUSG00000062867.13,20566.217036674,3.73869822096334,0.135924536137021,27.5056904898648,1.5009812855087696e-166,4.945433139494298e-163
ENSMUSG00000090118.1,5599.65564856744,3.92102389660816,0.15268365809809198,25.6807044411334,1.9203478221982096e-145,5.2726350038155484e-142
ENSMUSG00000107813.1,8020.450993497329,4.09427450718911,0.17752789436382302,23.0627109157188,1.0966485241831797e-117,2.5808839696276793e-114
ENSMUSG00000082241.4,9306.276470564859,3.2886193726007096,0.14311130200928698,22.9794525409832,7.482445513623669e-117,1.5408225923929497e-113
ENSMUSG00000038080.17,86303.1947744163,3.5579090201256403,0.156649694191742,22.712518134703103,3.369700259807949e-114,6.168049120008459e-111
ENSMUSG00000114755.1,36660.6427039856,3.18127824796133,0.142259788790615,22.362455863361898,9.134556064260657e-111,1.3680243327511798e-107
ENSMUSG00000000301.16,2081.55759570083,4.36420314800619,0.205052852783867,21.283308614126998,1.6209079881139295e-100,1.9073455854420694e-97
ENSMUSG00000083708.1,2633.8467067676897,3.9980039488232406,0.199237684353793,20.0665047969733,1.4483924992196498e-89,1.4913011270090297e-86
ENSMUSG00000046460.15,1015.1887221001199,4.92373768142882,0.247802220223585,19.8696269831088,7.455479391899279e-88,7.22479808836169e-85
ENSMUSG00000046709.18,5934.47422080468,3.39939080271115,0.173849294435364,19.553664648176202,3.83926022167447e-85,3.0118082329459594e-82
ENSMUSG00000114165.1,23513.6864495302,2.98783022811127,0.152838971124758,19.5488768742914,4.217027007520049e-85,3.157786496449329e-82
ENSMUSG00000020156.16,6145.75460836198,2.92928102563658,0.15070081067599803,19.437725732839198,3.702174630348489e-84,2.54123436918171e-81
ENSMUSG00000114131.1,949.0075420267419,4.83306898711857,0.25164287289744297,19.2060634639483,3.293103781873989e-82,2.00928117417008e-79
ENSMUSG00000028467.15,803.445800256911,6.0740494087606205,0.31655449672631397,19.188005451118602,4.661915630029659e-82,2.74287136032531e-79
ENSMUSG00000096022.1,11602.989152305401,2.6756421169504603,0.141243034126111,18.9435332758533,4.9931127281885795e-80,2.7418846361392893e-77
ENSMUSG00000083199.1,3583.3272761485205,3.06214005672195,0.162171027441394,18.8821647431972,1.5989627253572396e-79,8.23165998047974e-77
ENSMUSG00000026032.8,8715.72693488443,2.95166535830107,0.161782252709018,18.244679554623,2.2807037140317496e-74,1.1385549389381499e-71
ENSMUSG00000083907.2,50744.840541778205,2.47312104332232,0.138394604034234,17.8700684219636,2.0174676144593894e-71,9.775223964883518e-69
ENSMUSG00000115819.1,2121.7221946302498,3.1654085502395297,0.18046257112924502,17.540526716603697,7.027303496901549e-69,3.3076513659416e-66
ENSMUSG00000081883.2,21503.6196287661,2.9630644113076605,0.17167525427501099,17.2597059711416,9.459135350628419e-67,4.2116161017906094e-64
ENSMUSG00000082660.1,2359.6349114592604,2.9883131148665805,0.17499732669051699,17.0763358011258,2.2267061627609598e-65,9.405835211621558e-63
ENSMUSG00000024538.8,6701.74268129348,2.7646761208620094,0.165271333119018,16.7281044370294,8.180048218911008e-63,3.2867832770326796e-60
ENSMUSG00000078370.1,2833.4547667104302,3.3413599205074704,0.20146620040849303,16.5852133694512,8.914851879309519e-62,3.2636282191054395e-59
ENSMUSG00000099662.1,44251.8032224104,2.15148150832413,0.132260515777479,16.2669977179273,1.6925552410749297e-59,6.061555443797479e-57
