name,EV_0hr_dox_rep1,EV_0hr_dox_rep2,EV_2hr_dox_rep1,EV_2hr_dox_rep2,EV_6hr_dox_rep1,EV_6hr_dox_rep2,EV_12hr_dox_rep1,EV_12hr_dox_rep2
ENSMUSG00000109644,27.9051949295,22.9199529151,10.9055011503,34.5032635923,8.977048632,22.8648531223,1.9850874524000002,16.9959555775
ENSMUSG00000007777,456.44925991900004,533.1380351995,425.3145448601,445.58500410610003,476.7810273425,457.297062446,559.7946615823,643.8467877608
ENSMUSG00000086714,36.8747218712,29.8955907589,32.7165034508,24.6451882802,22.9413465039,38.770837903,25.806136881500002,49.98810463979999
ENSMUSG00000043644,102.6512527765,154.4605522541,59.4845517287,56.191029278900004,124.68123099959999,98.4182808308,82.3811292754,103.9752576508
ENSMUSG00000042208,565.0801973233,650.727358851,771.3163540819,816.2486358404,692.2301945098,623.3157785948999,561.7797490347,624.8513079977
ENSMUSG00000020831,29.898423138800002,14.9477953794,39.6563678191,41.403916310700005,29.923495439899998,16.9001088295,44.6644676794,24.994052319899996
ENSMUSG00000089755,2.9898423138999997,0.0,9.9140919548,0.0,5.984699087999999,1.9882480975999999,0.9925437262000001,0.0
ENSMUSG00000107002,1433.1310824529999,1327.364229693,1492.0708391944,1319.9962842877999,1299.6771519398,1353.9969544597,1143.4103725936,1461.6521796682
ENSMUSG00000046683,1.9932282093,0.996519692,0.0,0.0,0.9974498479999999,0.0,0.0,1.9995241856000001
ENSMUSG00000058706,1099.2653574030999,1000.5057707295,922.0105517945,1060.7289035801,1179.9831701802,913.6000008432001,1083.857749021,1028.7551934874
ENSMUSG00000099146,1.9932282093,0.0,0.0,16.7587280305,2.9923495439999996,0.0,0.0,0.0
ENSMUSG00000097882,47.8374770221,58.7946618257,33.7079126463,38.4464937171,47.8775927038,70.5828074645,60.5451672988,71.9828706813
ENSMUSG00000058812,7.972912837000001,13.9512756875,14.8711379322,5.9148451872,1.9948996959999998,0.0,24.8135931552,6.9983346496
ENSMUSG00000089889,33.8848795573,47.8329452142,30.7336850598,43.3755313732,40.8954437679,69.5886834157,31.761399238699997,66.9840602174
ENSMUSG00000087341,0.9966141045999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9997620928000001
ENSMUSG00000060512,0.0,0.0,4.9570459774,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000087361,0.0,3.9860787677999996,7.9312735638,0.0,0.9974498479999999,11.9294885855,1.9850874524000002,5.998572556799999
ENSMUSG00000097863,17.939053883299998,20.9269135312,9.9140919548,13.8013054369,24.936246199899998,18.888356927100002,52.6048174891,20.9950039487
ENSMUSG00000097222,4.9830705231,1.9930393838999998,3.9656367819,5.9148451872,1.9948996959999998,12.923612634300001,7.940349809700001,1.9995241856000001
ENSMUSG00000115547,0.0,0.0,0.0,0.0,0.0,0.0,6.947806083500001,0.0
ENSMUSG00000090066,0.0,1.9930393838999998,3.9656367819,0.0,0.0,0.0,0.0,5.998572556799999
ENSMUSG00000097134,7.972912837000001,6.9756378437,4.9570459774,5.9148451872,10.971948328,8.9471164392,4.962718631,12.996907206400001
ENSMUSG00000071456,303.9673019111,219.2343322316,219.10143220060002,158.7150125245,204.4772188393,161.0480959049,211.4118136827,260.93790621979997
ENSMUSG00000102531,0.0,0.0,0.0,1.9716150624000002,0.0,0.0,0.0,0.0
ENSMUSG00000106291,5.979684627799999,37.8677482945,8.922682759299999,5.9148451872,20.9464468079,5.9647442928,40.6942927746,9.997620928
ENSMUSG00000030663,3359.5861466963,3569.5335366066997,3253.8049795588,3053.0459241519,3301.5589968694,3770.7125170819,3102.6916881316997,3346.2037245891997
ENSMUSG00000107121,54.8137757545,68.7598587454,66.42441609699999,68.02071965340001,35.9081945279,44.7355821958,23.821049429000002,72.9826327741
ENSMUSG00000039195,374.72690333959997,361.7366481821,373.7612666952,419.95400829470003,355.0921458869,300.2254627363,321.584167292,401.90436130410006
ENSMUSG00000045237,863.0678146066,770.3097218864,976.5380575458,1180.9974223875,980.4932005809,990.1475526005,833.7367300162,905.7844560734
ENSMUSG00000116164,16.9424397787,3.9860787677999996,12.8883195412,19.7161506242,16.9566474159,17.8942328783,17.8657870718,10.9973830208
ENSMUSG00000028441,7.972912837000001,6.9756378437,3.9656367819,9.8580753121,4.98724924,11.9294885855,19.8508745242,19.995241855899998
