name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000081861,575.357332793576,2.8892696606770003,0.278869048607773,10.360668116814699,3.7433803774121096e-25,4.25167307350775e-21
ENSMUSG00000048349,772.059101638787,2.5477502338511897,0.25162213353894,10.1253025638816,4.2665711364608996e-24,1.96660485583271e-20
ENSMUSG00000034220,550.735287766178,2.70083757987719,0.31353415888421504,8.61417329929458,7.044806480953379e-18,1.21769480023279e-14
ENSMUSG00000103436,527.307324152584,1.9793894621161898,0.260007770425478,7.612808874431349,2.6820225401073797e-14,2.1815886873297e-11
ENSMUSG00000088856,1102.9077164866,1.71260665635413,0.23655490418580302,7.239785039539719,4.49396445451991e-13,3.10712702385506e-10
ENSMUSG00000052790,228.678261047802,2.62600195067617,0.378475272008002,6.93837126199529,3.9664621046341e-12,2.38470599925567e-09
ENSMUSG00000114140,249.671904955963,2.3899430977466602,0.35787811222649896,6.67809238983043,2.4207242316671102e-11,1.15426809225837e-08
ENSMUSG00000091557,158.430451474242,3.5502309799199803,0.572128106053665,6.20530776648643,5.45899631663312e-10,1.84114636747324e-07
ENSMUSG00000093170,324.80421966745604,2.20037017026837,0.358489703335132,6.1378894562318,8.362501802604921e-10,2.75325416491478e-07
ENSMUSG00000065118,206.56882478881198,2.34119960961685,0.392341635008711,5.967247420898549,2.41289385645317e-09,7.09904175468818e-07
ENSMUSG00000105360,400.899302203084,1.88809337275756,0.316260986155396,5.9700483316327695,2.37183314685276e-09,7.09904175468818e-07
ENSMUSG00000113871,509.78773698489897,1.59188508771543,0.27760036456070597,5.7344488370342805,9.78299494248109e-09,2.50517137156719e-06
ENSMUSG00000101132,204.617392217249,2.03933720736096,0.39299374294726397,5.18923581853214,2.1115884587068998e-07,4.3580664488058205e-05
ENSMUSG00000109524,219.57966141990102,1.9053690357593798,0.404482490177018,4.71063416101279,2.46947173804798e-06,0.000359451107302395
ENSMUSG00000084946,378.690315450023,1.61400720456857,0.35072269872255796,4.60194680996494,4.18560107832346e-06,0.000567436193245654
ENSMUSG00000082014,93.80856606133351,2.77208093025781,0.606698015519504,4.56912806593595,4.89757464848993e-06,0.000638902473955837
ENSMUSG00000100218,68.9434689062097,3.06596364231138,0.6800493120840749,4.50844311997824,6.53050714989702e-06,0.00082847571439244
ENSMUSG00000061898,46.53708085260261,3.79760140049206,0.866011728148621,4.38516162894313,1.15899689129947e-05,0.0013816042252490599
ENSMUSG00000029624,126.903537035606,2.3816449659547003,0.546713741712865,4.356292487715709,1.32283985003238e-05,0.00155039876942153
ENSMUSG00000085433,3133.58953354343,2.0341642022541,0.468061047496251,4.345937806906259,1.38681862449288e-05,0.00161150654953676
ENSMUSG00000106674,91.3318579637467,2.6271939673469196,0.6124498261527039,4.2896476660798,1.78956794673862e-05,0.0019485153990158699
ENSMUSG00000027669,167.05748332157899,2.03053963394106,0.47365050214726395,4.28699985482067,1.8110241159677302e-05,0.00195647199028139
ENSMUSG00000113948,114.47370056548401,2.22692897110106,0.5242497420638089,4.24783989846963,2.1584154782783398e-05,0.0022441029498972104
ENSMUSG00000023971,46.28020593983021,3.90340552987596,0.92952082218844,4.1993739534375205,2.67653973495835e-05,0.0026436565325003
ENSMUSG00000040414,111.270617064569,2.16634535663753,0.519023222310149,4.17388907377829,2.99443594156972e-05,0.00291599015493141
ENSMUSG00000108089,159.05186421772498,2.1694902523239397,0.526869801114539,4.11769710037395,3.82677204588241e-05,0.0033920899904142303
ENSMUSG00000027248,29.3476903205236,5.98881346631699,1.4607966572520399,4.09969001269677,4.13703889669948e-05,0.00360007137774675
ENSMUSG00000115358,79.4168569201944,2.6307937829836003,0.6420698018327429,4.097364142456451,4.17881271706726e-05,0.00361153889072538
ENSMUSG00000081024,47.2630907886331,3.4014598456009706,0.8334702956403441,4.0810810695871,4.482671517729771e-05,0.00382631986093625
ENSMUSG00000081555,81.5964666961445,2.7475287671701603,0.6771012345226021,4.05778135836267,4.954111504669121e-05,0.00415184569009482
